match_id,start_x,start_y,end_x,end_y,height,angle,duration,outcome
8658,48.0,73.0,44.0,66.0,Ground Pass,-2.0899425,1.0,
8658,46.0,64.0,49.0,70.0,Ground Pass,1.1071488,1.36,
8658,48.0,69.0,42.0,60.0,Ground Pass,-2.158799,1.199,
8658,42.0,58.0,47.0,13.0,Ground Pass,-1.4601392,1.773,
8658,64.0,23.0,79.0,2.0,Low Pass,-0.95054686,0.973,
8658,113.0,1.0,115.0,13.0,High Pass,1.4056476,1.013,
8658,119.0,5.0,116.0,17.0,Ground Pass,1.815775,0.853,
8658,119.0,26.0,119.0,25.0,Ground Pass,-1.5707964,0.227,Incomplete
8658,120.0,1.0,118.0,40.0,High Pass,1.6220335,1.4,Incomplete
8658,20.0,7.0,22.0,7.0,High Pass,0.0,0.2,Incomplete
8658,101.0,79.0,94.0,78.0,High Pass,-2.9996955,0.933,
8658,93.0,78.0,103.0,79.0,Ground Pass,0.09966865,2.373,
8658,103.0,79.0,113.0,40.0,High Pass,-1.3197936,1.707,Incomplete
8658,25.0,33.0,27.0,27.0,Low Pass,-1.2490457,0.88,Incomplete
8658,29.0,36.0,94.0,43.0,High Pass,0.10727885,3.16,
8658,94.0,43.0,85.0,40.0,High Pass,-2.819842,1.933,Incomplete
8658,36.0,41.0,4.0,30.0,High Pass,-2.8104966,3.279,
8658,14.0,67.0,5.0,48.0,Ground Pass,-2.0131705,2.533,
8658,4.0,49.0,17.0,72.0,Ground Pass,1.056345,1.453,
8658,50.0,69.0,58.0,79.0,Ground Pass,0.8960554,0.733,
8658,57.0,78.0,46.0,78.0,Ground Pass,3.1415927,1.453,
8658,46.0,77.0,117.0,57.0,High Pass,-0.2745753,6.32,Incomplete
8658,10.0,32.0,33.0,22.0,Ground Pass,-0.41012734,2.24,
8658,76.0,65.0,69.0,63.0,Ground Pass,-2.863293,0.52,
8658,75.0,54.0,80.0,55.0,Ground Pass,0.19739556,1.013,
8658,77.0,53.0,73.0,60.0,Ground Pass,2.0899425,1.093,
8658,76.0,54.0,107.0,6.0,Low Pass,-0.9973558,3.64,
8658,114.0,14.0,104.0,20.0,Ground Pass,2.6011732,0.72,
8658,104.0,20.0,105.0,41.0,Ground Pass,1.5232133,1.76,Incomplete
8658,63.0,10.0,39.0,21.0,Low Pass,2.7118304,2.68,
8658,37.0,20.0,50.0,25.0,Ground Pass,0.36717382,1.693,
8658,54.0,30.0,61.0,17.0,Ground Pass,-1.076855,1.88,
8658,68.0,26.0,61.0,32.0,Ground Pass,2.4329665,1.213,
